Observation id	Daniel_Dyad10_A2A							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX020560.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX030560.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX050560.MP4							
								
Observation date	2023-05-11 14:30:57							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
2245.312	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Subordinate	Flee	Other		POINT
2255.656	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Chases Female	Aggressive		POINT
2255.953	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Subordinate	Chases Female	Aggressive		POINT
2259.667	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Subordinate	Flee	Other		POINT
2263.756	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Chases Male	Aggressive		POINT
2263.756	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Subordinate	Flee	Other		POINT
2269.053	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
2288.049	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
2399.049	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
2423.375	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Chases Female	Aggressive		POINT
2448.914	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Chases Female	Aggressive		POINT
2451.752	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Chases Female	Aggressive		POINT
2459.556	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Chases Male	Aggressive		POINT
2459.556	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Subordinate	Flee	Other		POINT
2462.049	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
2472.378	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Chases Female	Aggressive		POINT
2527.053	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
2569.049	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Foraging	Other		POINT
2597.753	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
2621.303	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX040560.MP4	3356.390	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
