Observation id	Daniel_Dyad10_A2C							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH020574.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH040574.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH050574.MP4							
								
Observation date	2023-05-22 15:41:00							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1568.357	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Dominant	Foraging	Other		POINT
1611.519	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Subordinate	Entry /Exit Pot	Reproductive		POINT
1639.989	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Dominant	Chases Female	Aggressive		POINT
1640.269	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Subordinate	Entry /Exit Pot	Reproductive		POINT
1640.697	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Subordinate	Flee	Other		POINT
1653.101	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Dominant	Foraging	Other		POINT
1681.786	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Dominant	Chases Female	Aggressive		POINT
1725.708	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Dominant	Bite	Aggressive		POINT
1733.346	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Dominant	Foraging	Other		POINT
1741.293	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Dominant	Chases Male	Aggressive		POINT
1741.293	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Subordinate	Flee	Other		POINT
1756.170	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH030574.MP4	3401.830	59.94	Dominant	Chases Male	Aggressive		POINT
